GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qa-mesto-selenium-test,ru.mesto.pages,MainPage,0,15,0,0,0,5,0,2,0,2
qa-mesto-selenium-test,ru.mesto.pages,CardPage,0,75,0,0,0,16,0,3,0,3
qa-mesto-selenium-test,ru.mesto.pages,LoginPage,0,49,0,0,0,10,0,2,0,2
qa-mesto-selenium-test,ru.mesto.pages,ProfilePage,0,29,0,0,0,7,0,2,0,2
